   xk <= x <   xk+1; y_i      =    73.0531     +       -0.000128404x; type: least-square

    0 <= x <     30; y_0      =        58.0000 +    0.6333x; interpolation
   30 <= x <     60; y_1      =        94.0000 +   -0.5667x; interpolation
   60 <= x <     90; y_2      =        22.0000 +    0.6333x; interpolation
   90 <= x <    120; y_3      =       121.0000 +   -0.4667x; interpolation
  120 <= x <    150; y_4      =        17.0000 +    0.4000x; interpolation
  150 <= x <    180; y_5      =        97.0000 +   -0.1333x; interpolation
  180 <= x <    210; y_6      =        37.0000 +    0.2000x; interpolation
  210 <= x <    240; y_7      =       121.0000 +   -0.2000x; interpolation
  240 <= x <    270; y_8      =        25.0000 +    0.2000x; interpolation
  270 <= x <    300; y_9      =       124.0000 +   -0.1667x; interpolation
  300 <= x <    330; y_10     =       174.0000 +   -0.3333x; interpolation
  330 <= x <    360; y_11     =       -90.0000 +    0.4667x; interpolation
  360 <= x <    390; y_12     =       270.0000 +   -0.5333x; interpolation
  390 <= x <    420; y_13     =        49.0000 +    0.0333x; interpolation
  420 <= x <    450; y_14     =      -105.0000 +    0.4000x; interpolation
  450 <= x <    480; y_15     =       -15.0000 +    0.2000x; interpolation
  480 <= x <    510; y_16     =       353.0000 +   -0.5667x; interpolation
  510 <= x <    540; y_17     =        98.0000 +   -0.0667x; interpolation
  540 <= x <    570; y_18     =      -280.0000 +    0.6333x; interpolation
  570 <= x <    600; y_19     =       518.0000 +   -0.7667x; interpolation
  600 <= x <    630; y_20     =       -62.0000 +    0.2000x; interpolation
  630 <= x <    660; y_21     =       106.0000 +   -0.0667x; interpolation
  660 <= x <    690; y_22     =      -356.0000 +    0.6333x; interpolation
  690 <= x <    720; y_23     =        81.0000 +    0.0000x; interpolation
  720 <= x <    750; y_24     =       489.0000 +   -0.5667x; interpolation
  750 <= x <    780; y_25     =      -361.0000 +    0.5667x; interpolation
  780 <= x <    810; y_26     =       107.0000 +   -0.0333x; interpolation
  810 <= x <    840; y_27     =       134.0000 +   -0.0667x; interpolation
  840 <= x <    870; y_28     =        -6.0000 +    0.1000x; interpolation
  870 <= x <    900; y_29     =        81.0000 +    0.0000x; interpolation
  900 <= x <    930; y_30     =        51.0000 +    0.0333x; interpolation
  930 <= x <    960; y_31     =        51.0000 +    0.0333x; interpolation
  960 <= x <    990; y_32     =       147.0000 +   -0.0667x; interpolation
  990 <= x <   1020; y_33     =       114.0000 +   -0.0333x; interpolation
 1020 <= x <   1050; y_34     =       658.0000 +   -0.5667x; interpolation
 1050 <= x <   1080; y_35     =        98.0000 +   -0.0333x; interpolation
 1080 <= x <   1110; y_36     =      -514.0000 +    0.5333x; interpolation
 1110 <= x <   1140; y_37     =         4.0000 +    0.0667x; interpolation
 1140 <= x <   1170; y_38     =       194.0000 +   -0.1000x; interpolation
 1170 <= x <   1200; y_39     =       -79.0000 +    0.1333x; interpolation
 1200 <= x <   1230; y_40     =       161.0000 +   -0.0667x; interpolation
 1230 <= x <   1260; y_41     =        38.0000 +    0.0333x; interpolation
 1260 <= x <   1290; y_42     =        80.0000 +    0.0000x; interpolation
 1290 <= x <   1320; y_43     =       123.0000 +   -0.0333x; interpolation
 1320 <= x <   1350; y_44     =       739.0000 +   -0.5000x; interpolation
 1350 <= x <   1380; y_45     =       154.0000 +   -0.0667x; interpolation
 1380 <= x <   1410; y_46     =       -30.0000 +    0.0667x; interpolation
 1410 <= x <   1440; y_47     =      -453.0000 +    0.3667x; interpolation
 1440 <= x <   1470; y_48     =      -165.0000 +    0.1667x; interpolation
 1470 <= x <   1500; y_49     =       -18.0000 +    0.0667x; interpolation
 1500 <= x <   1530; y_50     =      1482.0000 +   -0.9333x; interpolation
 1530 <= x <   1560; y_51     =      -354.0000 +    0.2667x; interpolation
 1560 <= x <   1590; y_52     =      -770.0000 +    0.5333x; interpolation
 1590 <= x <   1620; y_53     =       -81.0000 +    0.1000x; interpolation
 1620 <= x <   1650; y_54     =        81.0000 +    0.0000x; interpolation
 1650 <= x <   1680; y_55     =      1126.0000 +   -0.6333x; interpolation
 1680 <= x <   1710; y_56     =      -890.0000 +    0.5667x; interpolation
 1710 <= x <   1740; y_57     =      1048.0000 +   -0.5667x; interpolation
 1740 <= x <   1770; y_58     =         4.0000 +    0.0333x; interpolation
